20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T,2:00pm - 2:50pm,387  1015,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,M,2:00pm - 2:50pm,GIRV 2129,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,W,12:00pm - 12:50pm,PHELP1508,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,T,3:00pm - 3:50pm,GIRV 1119,25 / 25
20201_ANTH.html,ANTH      5,L&S,5.0,Optional,F,9:00 am - 9:50 am,GIRV 2123,22 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,T R,5:00pm - 6:15pm,EMBARHALL,200 / 225
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,1:00pm - 1:50pm,PHELP2532,24 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,2:00pm - 2:50pm,KERR 2166A,23 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,3:00pm - 3:50pm,HSSB 1233,21 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,M,4:00pm - 4:50pm,HSSB 1223,23 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,F,10:00am - 10:50am,HSSB 1232,20 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,F,11:00am - 11:50am,HSSB 1233,16 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,T,2:00pm - 2:50pm,387  1011,24 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,T,3:00pm - 3:50pm,GIRV 1115,25 / 25
20201_ANTH.html,ANTH      7,L&S,4.0,Optional,W,1:00pm - 1:50pm,PHELP2524,24 / 25
20201_ANTH.html,ANTH      9,L&S,4.0,Optional,T R,9:30 am - 10:45am,PHELP1525,24 / 25
20201_ANTH.html,ANTH     99,L&S,1.0 - 4.0,Optional,N/A,N/A,N/A,0 / 10
20201_ANTH.html,ANTH    121,L&S,4.0,Optional,M W,3:30pm - 4:45pm,HSSB 1173,86 / 75
